year,avg_temp,decade ma
1849,14.12,14.12
1850,13.8,13.96
1851,14.39,14.10333333
1852,13.81,14.03
1853,14.4,14.104
1854,13.98,14.08333333
1855,14.2,14.1
1856,14.1,14.1
1857,14.78,14.17555556
1858,14.19,14.177
1859,13.71,14.136
1860,13.81,14.137
1861,14.88,14.186
1862,14.43,14.248
1863,14.43,14.251
1864,15.18,14.371
1865,14.32,14.383
1866,14.67,14.44
1867,14.46,14.408
1868,14.25,14.414
1869,14.57,14.5
1870,14.19,14.538
1871,14.34,14.484
1872,14.63,14.504
1873,14.46,14.507
1874,14.09,14.398
1875,14.76,14.442
1876,14.44,14.419
1877,15.03,14.476
1878,14.37,14.488
1879,14.2,14.451
1880,13.22,14.354
1881,14.39,14.359
1882,13.58,14.254
1883,13.93,14.201
1884,14.05,14.197
1885,15.05,14.226
1886,14.58,14.24
1887,14.38,14.175
1888,14.7,14.208
1889,14.81,14.269
1890,14.05,14.352
1891,14.46,14.359
1892,14.05,14.406
1893,13.4,14.353
1894,13.8,14.328
1895,13.95,14.218
1896,14.22,14.182
1897,13.81,14.125
1898,13.77,14.032
1899,14.04,13.955
1900,14.64,14.014
1901,14.34,14.002
1902,14.07,14.004
1903,14.12,14.076
1904,14.5,14.146
1905,14.39,14.19
1906,14.81,14.249
1907,14.34,14.302
1908,14.01,14.326
1909,14.05,14.327
1910,14.17,14.28
1911,13.46,14.192
1912,13.95,14.18
1913,14.38,14.206
1914,14.33,14.189
1915,14.3,14.18
1916,13.61,14.06
1917,14.06,14.032
1918,14.14,14.045
1919,13.6,14
1920,13.72,13.955
1921,14.24,14.033
1922,13.61,13.999
1923,14.13,13.974
1924,14.1,13.951
1925,14.34,13.955
1926,15.14,14.108
1927,14.24,14.126
1928,14.32,14.144
1929,14.25,14.209
1930,14.25,14.262
1931,14.93,14.331
1932,14.24,14.394
1933,13.93,14.374
1934,15.31,14.495
1935,14.12,14.473
1936,15.13,14.472
1937,14.36,14.484
1938,14.35,14.487
1939,14.81,14.543
1940,15.12,14.63
1941,14.98,14.635
1942,14.2,14.631
1943,14.72,14.71
1944,14.17,14.596
1945,14.41,14.625
1946,13.83,14.495
1947,14.51,14.51
1948,13.65,14.44
1949,13.9,14.349
1950,14.66,14.303
1951,14.06,14.211
1952,14.11,14.202
1953,14.42,14.172
1954,14.18,14.173
1955,13.74,14.106
1956,14.08,14.131
1957,14.59,14.139
1958,15.41,14.315
1959,15.39,14.464
1960,14.59,14.457
1961,14.65,14.516
1962,14.22,14.527
1963,14.19,14.504
1964,14.24,14.51
1965,14.14,14.55
1966,14.74,14.616
1967,14.5,14.607
1968,14.66,14.532
1969,14.51,14.444
1970,14.76,14.461
1971,13.89,14.385
1972,14.25,14.388
1973,14.58,14.427
1974,14.41,14.444
1975,13.82,14.412
1976,14.72,14.41
1977,14.63,14.423
1978,14.96,14.453
1979,14.99,14.501
1980,14.74,14.499
1981,15.22,14.632
1982,14,14.607
1983,15.07,14.656
1984,14.97,14.712
1985,14.23,14.753
1986,15,14.781
1987,14.95,14.813
1988,15.08,14.825
1989,14.45,14.771
1990,14.73,14.77
1991,14.5,14.698
1992,15.53,14.851
1993,14.97,14.841
1994,14.21,14.765
1995,15.31,14.873
1996,15.56,14.929
1997,15.75,15.009
1998,14.38,14.939
1999,14.41,14.935
2000,15.02,14.964
2001,15.25,15.039
2002,15,14.986
2003,15.43,15.032
2004,15.37,15.148
2005,15.17,15.134
2006,15.02,15.08
2007,14.94,14.999
2008,15.05,15.066
2009,15.02,15.127
2010,14.67,15.092
2011,14.5,15.017
2012,15.05,15.022
2013,16.23,15.102
